Sector,Occupation,Total
Agriculture,Managers in agriculture,447
Agriculture,Specialized livestock workers and farm machinery operators,97
Agriculture,Livestock labourers,45
Agriculture,Managers in aquaculture,34
Agriculture,Seniors managers - public and private sector,26
Forestry,Silviculture and forestry workers,96
Forestry,"Supervisors, logging and forestry",81
Forestry,Forestry technologists and technicians,74
Forestry,Logging machinery operators,63
Forestry,Chain saw and skidder operators,57
"Fishing, hunting and trapping",Fishermen/women,114
"Fishing, hunting and trapping",Fishing vessel deckhands,111
"Fishing, hunting and trapping",Automotive and heavy truck and equipment parts installers and servicers,40
"Fishing, hunting and trapping",Labourers in fish and seafood processing,17
"Fishing, hunting and trapping",Transport truck drivers,14
Mining and quarrying,Heavy equipment operators,132
Mining and quarrying,Underground production and development miners,112
Mining and quarrying,Construction millwrights and industrial mechanics,75
Mining and quarrying,Other customer and information services representatives,51
Mining and quarrying,Transport truck drivers,49
Mining and quarrying,"Supervisors, mining and quarrying",49
Utilities,Power engineers and power systems operators,134
Utilities,"Supervisors, petroleum, gas and chemical processing and utilities",88
Utilities,Water and waste treatment plant operators,56
Utilities,Electrical power line and cable workers,46
Utilities,Electrical and electronics engineers,30
Construction,Carpenters,1371
Construction,Construction trades helpers and labourers,1229
Construction,Heavy equipment operators,586
Construction,Electricians (except industrial and power system),487
Construction,Transport truck drivers,450
Manufacturing,Labourers in fish and seafood processing,516
Manufacturing,Fish and seafood plant workers,436
Manufacturing,Manufacturing managers,362
Manufacturing,Transport truck drivers,351
Manufacturing,Labourers in food and beverage processing,309
Wholesale trade,Retail and wholesale trade managers,326
Wholesale trade,Retail salespersons and visual merchandisers,143
Wholesale trade,Sales and account representatives - wholesale trade (non-technical),138
Wholesale trade,Transport truck drivers,131
Wholesale trade,Technical sales specialists - wholesale trade,123
Retail trade,Retail salespersons and visual merchandisers,3390
Retail trade,Retail and wholesale trade managers,3123
Retail trade,Cashiers,2006
Retail trade,"Store shelf stockers, clerks and order fillers",977
Retail trade,Retail sales supervisors,370
Transportation and warehousing,Transport truck drivers,2336
Transportation and warehousing,Letter carriers,184
Transportation and warehousing,Managers in transportation,155
Transportation and warehousing,Material handlers,148
Transportation and warehousing,"Bus drivers, subway operators and other transit operators",107
"Finance, insurance, real estate and leasing",Insurance agents and brokers,780
"Finance, insurance, real estate and leasing",Real estate agents and salespersons,751
"Finance, insurance, real estate and leasing",Customer services representatives - financial institutions,590
"Finance, insurance, real estate and leasing",Financial advisors,569
"Finance, insurance, real estate and leasing","Banking, credit and other investment managers",399
"Professional, scientific and technical services",Lawyers and Quebec notaries,468
"Professional, scientific and technical services",Financial auditors and accountants,356
"Professional, scientific and technical services",Civil engineers,333
"Professional, scientific and technical services",Seniors managers - public and private sector,328
"Professional, scientific and technical services",Accounting technicians and bookkeepers,320
"Business, building and other support services",Other customer and information services representatives,366
"Business, building and other support services",Light duty cleaners,350
"Business, building and other support services",Security guards and related security service occupations,259
"Business, building and other support services","Janitors, caretakers and heavy-duty cleaners",227
"Business, building and other support services",Landscaping and grounds maintenance labourers,84
Educational services,Elementary school and kindergarten teachers,1612
Educational services,Elementary and secondary school teacher assistants,1321
Educational services,Secondary school teachers,901
Educational services,"Janitors, caretakers and heavy-duty cleaners",568
Educational services,University professors and lecturers,548
Health care and social assistance,Registered nurses and registered psychiatric nurses,3954
Health care and social assistance,"Nurse aides, orderlies and patient service associates",3765
Health care and social assistance,Licensed practical nurses,1247
Health care and social assistance,"Home support workers, caregivers and related occupations",1223
Health care and social assistance,Early childhood educators and assistants,1201
"Information, culture and recreation","Operators and attendants in amusement, recreation and sport",141
"Information, culture and recreation","Program leaders and instructors in recreation, sport and fitness",141
"Information, culture and recreation",Landscaping and grounds maintenance labourers,126
"Information, culture and recreation",Other customer and information services representatives,124
"Information, culture and recreation","Recreation, sports and fitness program and service directors",100
Accommodation and food services,"Food counter attendants, kitchen helpers and related support occupations",1281
Accommodation and food services,Restaurant and food service managers,1049
Accommodation and food services,Cooks,903
Accommodation and food services,Food service supervisors,375
Accommodation and food services,Food and beverage servers,358
Public administration,Human resources professionals,899
Public administration,Operations members of the Canadian Armed Forces,696
Public administration,Police officers (except commissioned),532
Public administration,Employment insurance and revenue officers,526
Public administration,Administrative officers,525
Other services (not elsewhere classified),Hairstylists and barbers,990
Other services (not elsewhere classified),"Automotive service technicians, truck and bus mechanics and mechanical repairers",955
Other services (not elsewhere classified),Religious leaders,480
Other services (not elsewhere classified),"Estheticians, electrologists and related occupations",356
Other services (not elsewhere classified),Seniors managers - public and private sector,278
